LEI,Entity.LegalName,Entity.LegalName.xmllang,Entity.OtherEntityNames.OtherEntityName.1,Entity.OtherEntityNames.OtherEntityName.1.xmllang,Entity.OtherEntityNames.OtherEntityName.1.type,Entity.OtherEntityNames.OtherEntityName.2,Entity.OtherEntityNames.OtherEntityName.2.xmllang,Entity.OtherEntityNames.OtherEntityName.2.type,Entity.OtherEntityNames.OtherEntityName.3,Entity.OtherEntityNames.OtherEntityName.3.xmllang,Entity.OtherEntityNames.OtherEntityName.3.type,Entity.OtherEntityNames.OtherEntityName.4,Entity.OtherEntityNames.OtherEntityName.4.xmllang,Entity.OtherEntityNames.OtherEntityName.4.type,Entity.OtherEntityNames.OtherEntityName.5,Entity.OtherEntityNames.OtherEntityName.5.xmllang,Entity.OtherEntityNames.OtherEntityName.5.type,Entity.TransliteratedOtherEntityNames.TransliteratedOtherEntityName.1,Entity.TransliteratedOtherEntityNames.TransliteratedOtherEntityName.1.xmllang,Entity.TransliteratedOtherEntityNames.TransliteratedOtherEntityName.1.type,Entity.LegalAddress.xmllang,Entity.LegalAddress.FirstAddressLine,Entity.LegalAddress.MailRouting,Entity.LegalAddress.AdditionalAddressLine.1,Entity.LegalAddress.AdditionalAddressLine.2,Entity.LegalAddress.AdditionalAddressLine.3,Entity.LegalAddress.City,Entity.LegalAddress.Region,Entity.LegalAddress.Country,Entity.LegalAddress.PostalCode,Entity.HeadquartersAddress.xmllang,Entity.HeadquartersAddress.FirstAddressLine,Entity.HeadquartersAddress.MailRouting,Entity.HeadquartersAddress.AdditionalAddressLine.1,Entity.HeadquartersAddress.AdditionalAddressLine.2,Entity.HeadquartersAddress.AdditionalAddressLine.3,Entity.HeadquartersAddress.City,Entity.HeadquartersAddress.Region,Entity.HeadquartersAddress.Country,Entity.HeadquartersAddress.PostalCode,Entity.OtherAddresses.OtherAddress.1.xmllang,Entity.OtherAddresses.OtherAddress.1.type,Entity.OtherAddresses.OtherAddress.1.FirstAddressLine,Entity.OtherAddresses.OtherAddress.1.AdditionalAddressLine.1,Entity.OtherAddresses.OtherAddress.1.AdditionalAddressLine.2,Entity.OtherAddresses.OtherAddress.1.AdditionalAddressLine.3,Entity.OtherAddresses.OtherAddress.1.City,Entity.OtherAddresses.OtherAddress.1.Region,Entity.OtherAddresses.OtherAddress.1.Country,Entity.OtherAddresses.OtherAddress.1.PostalCode,Entity.OtherAddresses.OtherAddress.2.xmllang,Entity.OtherAddresses.OtherAddress.2.type,Entity.OtherAddresses.OtherAddress.2.FirstAddressLine,Entity.OtherAddresses.OtherAddress.2.AdditionalAddressLine.1,Entity.OtherAddresses.OtherAddress.2.AdditionalAddressLine.2,Entity.OtherAddresses.OtherAddress.2.AdditionalAddressLine.3,Entity.OtherAddresses.OtherAddress.2.City,Entity.OtherAddresses.OtherAddress.2.Region,Entity.OtherAddresses.OtherAddress.2.Country,Entity.OtherAddresses.OtherAddress.2.PostalCode,Entity.RegistrationAuthority.RegistrationAuthorityID,Entity.RegistrationAuthority.OtherRegistrationAuthorityID,Entity.RegistrationAuthority.RegistrationAuthorityEntityID,Entity.LegalJurisdiction,Entity.EntityCategory,Entity.LegalForm.EntityLegalFormCode,Entity.LegalForm.OtherLegalForm,Entity.EntityStatus,Entity.EntityCreationDate,Entity.LegalEntityEvents.LegalEntityEvent.1.group_type,Entity.LegalEntityEvents.LegalEntityEvent.1.event_status,Entity.LegalEntityEvents.LegalEntityEvent.1.group_id,Entity.LegalEntityEvents.LegalEntityEvent.1.LegalEntityEventType,Entity.LegalEntityEvents.LegalEntityEvent.1.LegalEntityEventEffectiveDate,Entity.LegalEntityEvents.LegalEntityEvent.1.LegalEntityEventRecordedDate,Entity.LegalEntityEvents.LegalEntityEvent.1.ValidationDocuments,Entity.LegalEntityEvents.LegalEntityEvent.2.group_type,Entity.LegalEntityEvents.LegalEntityEvent.2.event_status,Entity.LegalEntityEvents.LegalEntityEvent.2.group_id,Entity.LegalEntityEvents.LegalEntityEvent.2.LegalEntityEventType,Entity.LegalEntityEvents.LegalEntityEvent.2.LegalEntityEventEffectiveDate,Entity.LegalEntityEvents.LegalEntityEvent.2.LegalEntityEventRecordedDate,Entity.LegalEntityEvents.LegalEntityEvent.2.ValidationDocuments,Entity.LegalEntityEvents.LegalEntityEvent.3.group_type,Entity.LegalEntityEvents.LegalEntityEvent.3.event_status,Entity.LegalEntityEvents.LegalEntityEvent.3.LegalEntityEventType,Entity.LegalEntityEvents.LegalEntityEvent.3.LegalEntityEventEffectiveDate,Entity.LegalEntityEvents.LegalEntityEvent.3.LegalEntityEventRecordedDate,Entity.LegalEntityEvents.LegalEntityEvent.3.ValidationDocuments,Entity.LegalEntityEvents.LegalEntityEvent.4.group_type,Entity.LegalEntityEvents.LegalEntityEvent.4.event_status,Entity.LegalEntityEvents.LegalEntityEvent.4.LegalEntityEventType,Entity.LegalEntityEvents.LegalEntityEvent.4.LegalEntityEventEffectiveDate,Entity.LegalEntityEvents.LegalEntityEvent.4.LegalEntityEventRecordedDate,Entity.LegalEntityEvents.LegalEntityEvent.4.ValidationDocuments,Registration.InitialRegistrationDate,Registration.LastUpdateDate,Registration.RegistrationStatus,Registration.NextRenewalDate,Registration.ManagingLOU,Registration.ValidationSources,Registration.ValidationAuthority.ValidationAuthorityID,Registration.ValidationAuthority.OtherValidationAuthorityID,Registration.ValidationAuthority.ValidationAuthorityEntityID,Registration.OtherValidationAuthorities.OtherValidationAuthority.1.ValidationAuthorityID,Registration.OtherValidationAuthorities.OtherValidationAuthority.1.OtherValidationAuthorityID,Registration.OtherValidationAuthorities.OtherValidationAuthority.1.ValidationAuthorityEntityID
18B0XXQZGRUMTWTLAN28,DOM MAKLERSKI BANKU HANDLOWEGO SPÓŁKA AKCYJNA,pl,,,,,,,,,,,,,,,,,,,pl,ul. SENATORSKA 16,,,,,WARSZAWA,PL-14,PL,00-923,pl,ul. SENATORSKA 16,,,,,WARSZAWA,PL-14,PL,00-923,,,,,,,,,,,,,,,,,,,,,RA000484,,0000002963,PL,GENERAL,FJ0E,,ACTIVE,1998-10-05T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-06-06T15:50:00+00:00,2023-05-02T13:40:34+00:00,ISSUED,2024-05-27T14:18:14+00:00,529900T8BM49AURSDO55,FULLY_CORROBORATED,RA000484,,0000002963,,,
1P0UUG7LC1S92QTNHG39,BANCO CITIBANK S A,pt,,,,,,,,,,,,,,,,,,,pt,AV PAULISTA 1111,,2 ANDAR PARTE,BELA VISTA,,SAO PAULO,BR-SP,BR,01310-200,pt,AV PAULISTA 1111,,2 ANDAR PARTE,BELA VISTA,,SAO PAULO,BR-SP,BR,01310-200,,,,,,,,,,,,,,,,,,,,,RA000681,,33.479.023/0001-80,BR,GENERAL,X0SD,,ACTIVE,1971-01-06T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-06-06T15:55:00+00:00,2023-05-02T10:06:17+00:00,ISSUED,2024-05-27T14:17:56+00:00,529900T8BM49AURSDO55,FULLY_CORROBORATED,RA000681,,33.479.023/0001-80,,,
21380011PJMHUXFASQ44,TDP GROWTH DEDICATED SUB-FUND # 112,en,,,,,,,,,,,,,,,,,,,en,"31, Z.A. BOURMICHT",,,,,BERTRANGE,LU-LU,LU,L-8070,en,C/O CITIBANK N.A.,,388 GREENWICH STREET,,,NEW YORK,US-NY,US,10013,,,,,,,,,,,,,,,,,,,,,RA000433,,O00004100_00000187,LU,FUND,8888,SUB-FUND,ACTIVE,2023-06-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-06T00:00:00Z,2023-12-06T12:03:34.307Z,ISSUED,2024-12-06T00:00:00Z,213800WAVVOPS85N2205,FULLY_CORROBORATED,RA000433,,O00004100_00000187,,,
21380012D15T9TJJGV17,TDP BALANCED DEDICATED SUB-FUND # 60,en,CITI UMBRELLA SICAV – TDP BALANCED DEDICATED SUB-FUND # 60,en,PREVIOUS_LEGAL_NAME,,,,,,,,,,,,,,,,en,"31, Z.A. BOURMICHT",,,,,BERTRANGE,LU-LU,LU,L-8070,en,C/O CITIBANK,,NATIONAL ASSOCIATION,5800 SOUTH WESTERN AVE,,SIOUX FALLS,US-SD,US,57108,,,,,,,,,,,,,,,,,,,,,RA000433,,O00004100_00000111,LU,FUND,8888,SUB-FUND,ACTIVE,2019-09-10T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-28T00:00:00Z,2023-12-27T08:52:20.053Z,ISSUED,2024-12-28T00:00:00Z,213800WAVVOPS85N2205,FULLY_CORROBORATED,RA000433,,O00004100_00000111,,,
2138001TOI669YXB6109,TDP GROWTH DEDICATED SUB-FUND # 106,en,TDP GROWTH DEDICATED SUB-FUND # 106,en,PREVIOUS_LEGAL_NAME,,,,,,,,,,,,,,,,en,"31, Z.A. BOURMICHT",,,,,BERTRANGE,LU-LU,LU,L-8070,en,C/O CITIBANK N.A.,,388 GREENWICH STREET,,,NEW YORK,US-NY,US,10013,,,,,,,,,,,,,,,,,,,,,RA000433,,O00004100_00000165,LU,FUND,8888,SUB-FUND,ACTIVE,2021-09-20T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-23T00:00:00Z,2023-04-21T07:44:46.713Z,ISSUED,2024-04-23T00:00:00Z,213800WAVVOPS85N2205,FULLY_CORROBORATED,RA000433,,O00004100_00000165,,,
2138001W8YG1KDJEJ240,TDP GROWTH DEDICATED SUB-FUND # 109,en,,,,,,,,,,,,,,,,,,,en,"31, Z.A. BOURMICHT",,,,,BERTRANGE,LU-LU,LU,L-8070,en,C/O CITIBANK N.A.,,388 GREENWICH STREET,,,NEW YORK,US-NY,US,10013,,,,,,,,,,,,,,,,,,,,,RA000433,,O00004100_00000184,LU,FUND,8888,SUB-FUND,ACTIVE,2023-06-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-06T00:00:00Z,2023-12-06T12:03:34.307Z,ISSUED,2024-12-06T00:00:00Z,213800WAVVOPS85N2205,FULLY_CORROBORATED,RA000433,,O00004100_00000184,,,
2138001WCWWI3BFEB229,TDP GROWTH DEDICATED SUB-FUND # 107,en,TDP GROWTH DEDICATED SUB-FUND # 107,en,PREVIOUS_LEGAL_NAME,,,,,,,,,,,,,,,,en,"31, Z.A. BOURMICHT",,,,,BERTRANGE,LU-LU,LU,L-8070,en,C/O CITIBANK N.A.,,388 GREENWICH STREET,,,NEW YORK,US-NY,US,10013,,,,,,,,,,,,,,,,,,,,,RA000433,,O00004100_00000166,LU,FUND,8888,SUB-FUND,ACTIVE,2021-04-23T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-23T00:00:00Z,2023-04-21T07:44:46.713Z,ISSUED,2024-04-23T00:00:00Z,213800WAVVOPS85N2205,FULLY_CORROBORATED,RA000433,,O00004100_00000166,,,
213800271F5QFU3H9A80,UMBRELLA DEDICATED SUB-FUND LEVEL 5 # 94,en,,,,,,,,,,,,,,,,,,,lb,"31, Z.A. BOURMICHT",,,,,BERTRANGE,LU-LU,LU,L-8070,en,"C/O CITIBANK, NATIONAL ASSOCIATION",,388 GREENWICH STREET,,,NEW YORK,US-NY,US,10013,,,,,,,,,,,,,,,,,,,,,RA000433,,O00004100_00000156,LU,FUND,8888,SUB-FUND,ACTIVE,2023-06-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-08T00:00:00Z,2023-11-08T14:21:31.943Z,ISSUED,2024-11-08T00:00:00Z,213800WAVVOPS85N2205,PARTIALLY_CORROBORATED,RA000433,,O00004100_00000156,,,
2138002I4PWL3RO5XD46,TDP GROWTH DEDICATED SUB-FUND # 102,en,,,,,,,,,,,,,,,,,,,lb,"31, Z.A. BOURMICHT",,,,,BERTRANGE,LU-LU,LU,L-8070,lb,C/O CITIBANK N.A,,388 GREENWICH STREET,,,NEW YORK,US-NY,US,10013,,,,,,,,,,,,,,,,,,,,,RA000433,,O00004100_00000094,LU,FUND,8888,SUB-FUND,ACTIVE,2020-09-09T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-18T00:00:00Z,2023-12-18T11:28:56.553Z,ISSUED,2024-12-23T00:00:00Z,213800WAVVOPS85N2205,FULLY_CORROBORATED,RA000433,,O00004100_00000094,,,
2138002N6OXPZASBSR22,TDP GROWTH DEDICATED SUB-FUND # 105,en,,,,,,,,,,,,,,,,,,,lb,"31, Z.A. BOURMICHT",,BERTRANGE,,,LUXEMBOURG,LU-LU,LU,L-8070,en,"C/O CITIBANK, N.A.",,388 GREENWICH STREET,,,NEW YORK,US-NY,US,10013,,,,,,,,,,,,,,,,,,,,,RA000433,,O00004100_00000033,LU,FUND,8888,SUB-FUND,ACTIVE,2008-02-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-01-15T00:00:00Z,2024-01-12T09:48:20.783Z,ISSUED,2025-01-15T00:00:00Z,213800WAVVOPS85N2205,FULLY_CORROBORATED,RA000433,,O00004100_00000033,,,
2138002OIMEW52TBN419,MACS SICAV,en,,,,,,,,,,,,,,,,,,,en,"31, Z.A. BOURMICHT",,,,,BERTRANGE,LU-LU,LU,L-8070,en,C/O CITIBANK N.A.,,388 GREENWICH STREET,,,NEW YORK,US-NY,US,10013,,,,,,,,,,,,,,,,,,,,,RA000432,,B112546,LU,FUND,UDY2,,ACTIVE,2005-12-16T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-28T00:00:00Z,2023-04-21T16:10:35.133Z,ISSUED,2024-04-28T00:00:00Z,213800WAVVOPS85N2205,FULLY_CORROBORATED,RA000433,,O00004100,,,
2138002T2QLVWJ6J2C93,TDP GROWTH DEDICATED SUB-FUND # 118,en,,,,,,,,,,,,,,,,,,,en,"31, Z.A. BOURMICHT",,,,,BERTRANGE,LU-LU,LU,L-8070,en,C/O CITIBANK N.A.,,388 GREENWICH STREET,,,NEW YORK,US-NY,US,10013,,,,,,,,,,,,,,,,,,,,,RA000433,,O00004100_00000193,LU,FUND,8888,SUB-FUND,ACTIVE,2023-06-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-06T00:00:00Z,2023-12-06T12:03:34.307Z,ISSUED,2024-12-06T00:00:00Z,213800WAVVOPS85N2205,FULLY_CORROBORATED,RA000433,,O00004100_00000193,,,
